,open,high,low,close,volume,EMA_5,EMA_20,RSI,Signal
2025-05-30 14:00:00,198.22,199.36,198.18,199.32,3770397.0,198.69672031370277,199.51422211670695,46.71582086725992,-1
2025-05-30 15:00:00,199.32,201.96,199.2889,200.65,15011350.0,199.34781354246851,199.62242749623755,56.961984327439936,-1
2025-05-30 16:00:00,200.65,202.4032,200.2,200.65,45210734.0,199.78187569497902,199.72032105854544,57.646429117602175,1
2025-05-30 17:00:00,200.5,200.85,199.95,200.62,164310.0,200.06125046331934,199.80602814646633,59.06587871868924,1
2025-05-30 18:00:00,200.5512,200.85,200.4,200.4,28364.0,200.17416697554626,199.8626108591081,51.68232684495186,1
2025-05-30 19:00:00,200.4,200.45,200.09,200.29,41802.0,200.2127779836975,199.90332367783796,50.61922572015948,1
2025-06-02 04:00:00,199.94,199.94,198.52,199.3,52358.0,199.90851865579833,199.84585266907635,45.030150420780686,1
2025-06-02 05:00:00,199.27,199.46,199.18,199.31,27759.0,199.7090124371989,199.79480975145546,45.09079275423078,-1
2025-06-02 06:00:00,199.29,199.62,199.29,199.53,25157.0,199.6493416247993,199.7695856035409,55.688723398753666,-1
2025-06-02 07:00:00,199.53,199.98,199.43,199.67,74519.0,199.6562277498662,199.76009984099096,59.51715000736046,-1
2025-06-02 08:00:00,200.85,201.352,198.55,199.7,141193.0,199.67081849991078,199.7543752716209,54.95160089352195,-1
2025-06-02 09:00:00,199.67,202.13,199.19,201.11,5694250.0,200.1505456666072,199.88349820440126,63.98996235884583,1
2025-06-02 10:00:00,201.06,201.4872,200.12,201.435,5295269.0,200.57869711107148,200.031276657121,80.0738007380074,-1
2025-06-02 11:00:00,201.43,201.99,200.3,201.005,4228711.0,200.72079807404762,200.12402151279454,71.96850393700784,-1
2025-06-02 12:00:00,201.01,201.168,200.57,200.8935,2445882.0,200.7783653826984,200.19731182694764,64.68776253150371,1
2025-06-02 13:00:00,200.9,201.12,200.5801,200.9,2338291.0,200.8189102551323,200.2642400034013,53.09942970493428,1
2025-06-02 14:00:00,200.9,201.53,200.63,201.265,2769312.0,200.96760683675484,200.359557557617,56.99181446111848,1
2025-06-02 15:00:00,201.27,201.82,201.14,201.79,5619044.0,201.2417378911699,200.49579932502465,61.95585530349466,1
2025-06-02 16:00:00,201.8,206.75,200.6709,201.96,10989272.0,201.48115859411325,200.63525548580898,66.10571959529214,1
2025-06-02 17:00:00,201.97,202.1,201.83,201.95,23825.0,201.63743906274217,200.76047613619025,67.49947290744242,1
2025-06-02 18:00:00,201.85,201.95,201.3,201.7,25872.0,201.65829270849477,200.8499590522436,79.97751686235263,-1
2025-06-02 19:00:00,201.66,201.94,201.21,201.57,59340.0,201.62886180566318,200.91853746818032,77.40722774678589,-1
